Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
44637.24964,49,0,Self_Employed,Tier_1,13391.17489,0,2206.490129,6658.768341,2636.970696,1651.801726,1536.184255,2911.792231,1546.914539,0,831.5251202,13.89094813,6200.537192,11265.62771,1685.696222,328.8952812,465.7691724,195.1513197,678.2928589,67.68247059,0,85.73551673
26858.59659,34,2,Retired,Tier_2,5371.719318,0,869.522617,2818.44446,1543.018778,649.3781027,1050.241738,1626.143346,1137.351325,1551.723167,564.2350071,7.160375738,1923.176434,9676.818733,540.306561,119.3471393,141.8660892,234.1311677,286.6684081,6.603211579,56.30687375,97.38860573
50367.60508,35,1,Student,Tier_3,7555.140763,4612.103386,2201.80005,6313.222081,3221.396403,1513.814376,1723.306926,3368.457108,2178.515847,3160.026299,628.37122,13.99780754,7050.360422,13891.45062,1466.073984,473.5497518,410.8571294,459.9652565,488.3834233,7.290892452,106.6535974,138.5424219
101455.6002,21,0,Self_Employed,Tier_3,15218.34004,6809.441427,4889.418087,14690.14936,7106.130005,5040.249158,2858.19424,6128.550387,4571.118217,0,2526.055712,16.45543972,16694.96514,31617.95361,1875.93277,762.0207886,1241.017448,320.1905938,1389.815033,193.5027543,0,296.0411827
24875.28355,52,4,Professional,Tier_2,4975.05671,3112.609398,635.9071701,3034.329665,1276.155163,692.827225,660.1868515,1092.689024,1169.095816,1445.215694,515.5103003,7.533982197,1874.099434,6265.700532,788.953124,68.16076564,61.71250517,187.1737501,194.1171299,47.29459127,67.38812048,96.55707615
24875.61027,57,4,Self_Employed,Tier_2,4975.122053,0,1038.230996,3250.067756,1760.164812,1049.067453,751.0168146,1024.309765,1022.295439,2003.852035,402.2178434,5.944241541,1478.666359,7599.2653,957.6191161,521.6838481,135.9258653,148.9523259,86.56725556,13.14368314,33.96184274,96.67592468
106119.6928,53,0,Self_Employed,Tier_2,21223.93855,0,4360.20271,12790.39069,6345.738036,4390.905104,2626.771629,6202.549938,3807.098562,0,2776.771814,17.33850157,18399.56459,41595.32572,2799.234658,912.9585992,438.00979,541.7023631,838.2999886,111.8575882,0,409.453143
55431.34151,40,1,Professional,Tier_2,11086.2683,8307.70222,1755.43982,8194.48241,3353.001888,1741.913582,1219.684252,2361.975893,2574.449981,5520.436852,850.0417121,11.97231334,6636.413893,8465.944597,1059.49964,838.1637,466.1792579,327.9020589,353.4116496,92.73953759,116.1217265,71.52096334
20606.73312,32,4,Retired,Tier_1,6182.019936,3562.488826,1018.58994,3066.86722,1170.790666,688.0598377,418.2338157,921.2327171,830.2370548,1939.226547,446.0686884,6.304983639,362.9178724,362.9178724,822.9740227,212.9980592,85.48914206,97.8129465,252.3443834,9.984249639,59.95784809,80.75435333
46304.79023,30,1,Student,Tier_2,9260.958047,0,2130.254825,5065.627032,2500.054847,2040.310666,1016.613164,2945.433561,1649.757514,3085.991147,919.5331562,12.12640143,5615.104745,15690.25628,962.0198877,380.2722624,598.882904,188.3116418,793.6444699,34.87304365,39.73884111,203.146675
